,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank
355,E057,JSS Science and Technology University(Formerly SJCE)  Mysore,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],Computer Science and Business Systems,Computer Science and Business Systems [CB],"University Of Mysore Campus, Mysore",Mysore,CB,0,0,25742,14324,0,0,20154,0,0,6607,0,0,11670,0,0,6012,17390,9853,41597,0,75442,16966,0,0,22341
725,E118,RNS Institute of Technology  Bangalore,RNS Institute of Technology  Bangalore [E118],Computers Science And Engineering,Computers Science And Engineering [CS],"RR Nagar, Bengaluru",Bengaluru,CS,12527,0,14655,11783,13969,14256,18460,0,0,10594,0,12889,10516,0,12825,9112,12454,11987,37140,43442,45664,38911,47829,47025,22423
3,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"KR Circle, Bengaluru",Bengaluru,EC,15177,0,18548,14878,15407,16522,21600,0,0,10997,0,12440,10574,0,14664,9878,14864,11936,33658,46591,47113,37482,0,52570,22494
146,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,AD,22999,0,0,12672,0,17133,15231,0,0,13425,0,0,11606,0,0,11265,19100,11949,32495,0,79620,0,0,0,22499
251,E037,K.L.S. Gogte Institute of Technology  Belgaum,K.L.S. Gogte Institute of Technology  Belgaum [E037],Computers Science And Engineering,Computers Science And Engineering [CS],"Udyambag, Belgaum",Belgaum,CS,16170,0,0,12919,13643,13982,20323,0,0,13528,0,0,11186,0,14306,10633,12667,13314,37794,39755,50139,31101,0,59394,23178
835,E141,P E S University (Electronic City Campus)  Bangalore,P E S University (Electronic City Campus)  Bangalore [E141],B TECH IN COMP SCI & ENGG (AI & ML),B TECH IN COMP SCI & ENGG (AI & ML) [AM],"Electronic city,Bengaluru",Bengaluru,AM,0,0,0,10404,0,17519,14541,0,36558,7386,0,12764,9345,0,0,6707,15568,12345,40772,0,62625,58645,0,0,23475
113,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Computers Science And Engineering,Computers Science And Engineering [CS],"Hunasemaranahalli,Bengaluru",Bengaluru,CS,14995,0,0,14832,19262,16872,17299,0,0,14017,0,0,15065,0,16126,13629,14669,15839,37542,49525,49893,35529,0,39361,24028
385,E060,"Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]",Computers Science And Engineering,Computers Science And Engineering [CS],"Jnanabharathi Campus, Bengaluru",Bengaluru,CS,15533,0,0,18720,0,20307,26444,0,0,14926,0,0,15416,0,0,14803,19847,16030,35430,0,46135,33953,0,39250,24368
110,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Hunasemaranahalli,Bengaluru",Bengaluru,AI,21699,0,0,22896,26111,0,28584,0,0,16996,0,21508,20071,0,0,16922,20276,19430,45684,0,0,37779,0,0,24829
639,E105,Nitte Meenakshi Institutute of Technology  Bangalore,Nitte Meenakshi Institutute of Technology  Bangalore [E105],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Yelahanka, Bengaluru",Bengaluru,AI,15829,0,0,15637,0,25841,15358,0,0,12540,0,0,13208,0,0,11384,12645,16667,38837,0,85263,35909,0,0,24926
39,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Aero Space Engineering,Aero Space Engineering [SE],"Mysuru Rd,Bengaluru",Bengaluru,SE,6874,84957,0,11791,0,13993,15163,0,0,5745,0,0,5913,0,0,4868,0,13570,24839,0,78663,36229,0,0,25217
71,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],"CS-Internet of things,Cyber Security(Block Chain)","CS-Internet of things,Cyber Security(Block Chain) [IC]","Kumaraswamy Layout, Bengaluru",Bengaluru,IC,13387,0,0,13363,0,16370,12789,0,0,12020,0,0,10689,36677,0,10560,0,14165,45334,0,74186,44487,0,0,25335
86,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Information Science and Engineering,Information Science and Engineering [IE],"Basavanagudi, Bengaluru",Bengaluru,IE,9404,0,0,12535,15948,12940,9976,0,0,9309,0,0,9386,0,11800,9132,0,11664,44407,57533,56120,40080,0,70681,25394
637,E105,Nitte Meenakshi Institutute of Technology  Bangalore,Nitte Meenakshi Institutute of Technology  Bangalore [E105],Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"Yelahanka, Bengaluru",Bengaluru,AD,16180,0,0,15288,0,20607,18576,0,0,14136,23864,0,0,0,0,13937,0,17734,44093,0,69831,0,0,0,25424
226,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Dhavalagiri, Dharwad",Dharwad,AI,24319,0,37061,16107,0,0,17134,0,0,20686,0,25732,15671,0,0,15056,18780,15577,50697,0,0,50202,0,0,25585
593,E099,New Horizon College of Engineering  Bangalore,New Horizon College of Engineering  Bangalore [E099],Computers Science And Engineering,Computers Science And Engineering [CS],"Kadabeesanahalli, Bengaluru",Bengaluru,CS,15067,0,18551,13035,21006,15684,19332,0,24155,10607,0,0,11085,0,14299,9034,16885,13797,39418,52441,47932,37232,60105,46949,25611
229,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Computers Science And Engineering,Computers Science And Engineering [CS],"Dhavalagiri, Dharwad",Dharwad,CS,13322,0,0,14166,0,15701,0,0,0,13294,0,0,13568,0,0,12241,16913,14379,37632,42724,45185,29011,0,67369,25808
60,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computer Science and Business Systems,Computer Science and Business Systems [CB],"Kumaraswamy Layout, Bengaluru",Bengaluru,CB,10862,0,0,13860,0,28801,17779,0,0,10659,71540,0,11620,0,23835,9901,0,20499,44468,0,0,50544,0,0,26197
659,E107,B N M Institute of Technology  Bangalore,B N M Institute of Technology  Bangalore [E107],Computers Science And Engineering,Computers Science And Engineering [CS],"Banashankari, Bengaluru",Bengaluru,CS,14438,0,0,15225,18219,18362,13451,0,0,12210,0,0,13463,0,15867,12005,14911,15634,48891,62833,51731,43761,0,50027,26314
67,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Kumaraswamy Layout, Bengaluru",Bengaluru,EC,20194,0,0,15524,18899,16983,21780,0,0,11946,0,16636,12079,0,18241,11067,18836,14255,49355,0,65011,51477,0,59056,26333
359,E057,JSS Science and Technology University(Formerly SJCE)  Mysore,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"University Of Mysore Campus, Mysore",Mysore,EC,20407,0,0,10701,0,0,0,32202,0,9221,0,12129,7837,0,0,7663,0,9780,41952,0,109773,28005,0,0,26333
837,E141,P E S University (Electronic City Campus)  Bangalore,P E S University (Electronic City Campus)  Bangalore [E141],B TECH IN COMPUTER SCIENCE AND ENGINEERING,B TECH IN COMPUTER SCIENCE AND ENGINEERING [BW],"Electronic city,Bengaluru",Bengaluru,BW,12470,0,24366,9573,19986,13565,12313,0,18436,7728,23020,9724,7888,13948,11430,5600,13003,9662,39065,65997,62131,51698,73433,84322,26789
1057,E178,The National Institute of Engineering(NORTH CAMPUS)  Mysore,The National Institute of Engineering(NORTH CAMPUS)  Mysore [E178],Information Science and Engineering,Information Science and Engineering [IE],Mysore,Mysore,IE,15298,0,0,12798,18103,13137,18586,0,32837,8762,0,11516,9983,0,10677,8245,15171,10390,36412,57152,65877,31893,75908,56943,26825
580,E097,C M R Institute of Technology  Bangalore,C M R Institute of Technology  Bangalore [E097],Computers Science And Engineering,Computers Science And Engineering [CS],"Brookefield, Bengaluru",Bengaluru,CS,14970,0,0,15957,19721,20262,18350,0,0,14841,0,0,15478,0,18255,13866,18450,17466,40015,50768,61200,43388,0,47218,26887
1055,E178,The National Institute of Engineering(NORTH CAMPUS)  Mysore,The National Institute of Engineering(NORTH CAMPUS)  Mysore [E178],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]",Mysore,Mysore,CA,18813,44276,18921,13614,0,15017,17339,0,0,10008,0,0,10192,0,0,9871,11835,13631,34553,0,69745,45343,0,77626,27385
90,E009,P E S University (Ring Road Campus)  Bangalore,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN ELECTRONICS & COMMUNICATION ENGINEERING,B TECH IN ELECTRONICS & COMMUNICATION ENGINEERING [BB],"Banashankari, Bengaluru",Bengaluru,BB,14394,0,15889,10095,20104,13113,10391,0,28670,6592,0,9836,8209,0,10785,5898,18121,9032,44284,53958,76457,48914,88652,60206,27680
439,E071,Vidya Vardhaka College of Engineering  Mysuru,Vidya Vardhaka College of Engineering  Mysuru [E071],Computers Science And Engineering,Computers Science And Engineering [CS],"Gokulam, Mysore",Mysore,CS,17757,0,0,14172,18578,19501,20952,0,35176,13247,0,17877,13406,0,16068,12126,13337,15385,40863,55170,51141,36437,69852,48341,27862
210,E031,Basaveshwara Engineering College  Bagalkot,Basaveshwara Engineering College  Bagalkot [E031],Computers Science And Engineering,Computers Science And Engineering [CS],"Vidayagiri, Bagalkot",Bagalkot,CS,24852,0,0,18918,0,23756,26035,0,0,17619,0,21733,17577,18027,0,16243,16436,17530,40925,42843,45902,40849,0,57717,27935
1323,E241,KLE Technological University(Formerly BVBCET)  Dharward Dist,KLE Technological University(Formerly BVBCET)  Dharward Dist [E241],Computer Science Engineering-Artificial Intel.,Computer Science Engineering-Artificial Intel. [CF],Dharwad,Dharwad,CF,19107,0,0,13024,0,16658,14321,45466,0,11522,0,0,8367,0,0,7827,9966,12613,33824,0,44120,53014,0,105363,28228
28,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Chemical Engineering,Chemical Engineering [CH],"Mysuru Rd,Bengaluru",Bengaluru,CH,0,0,0,17358,0,0,30330,0,0,19987,0,32880,0,0,0,14949,30808,20760,58987,0,0,0,0,0,28257
382,E060,"Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]",Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Jnanabharathi Campus, Bengaluru",Bengaluru,AI,20710,0,0,21923,0,31532,0,0,0,19924,0,0,21217,0,0,18685,24359,23678,47390,0,0,55009,0,0,28442
1397,E275,"R V Institute of Technology and Management  JP Nagar, Bengaluru","R V Institute of Technology and Management  JP Nagar, Bengaluru [E275]",Computers Science And Engineering,Computers Science And Engineering [CS],"JP nagar,Bengaluru",Bengaluru,CS,16443,0,0,13066,22927,16997,13994,0,25649,11826,0,0,10974,0,18934,10575,14242,15726,42814,59974,71994,53240,0,66716,28593
61,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computer Science and Design,Computer Science and Design [CD],"Kumaraswamy Layout, Bengaluru",Bengaluru,CD,12185,66459,22246,14337,0,0,13396,0,37558,15564,0,0,11643,0,0,11288,0,17362,57878,0,0,64517,0,0,28702
767,E126,"B M S Institute of Technology and Management  Yelahanka, Bangalore","B M S Institute of Technology and Management  Yelahanka, Bangalore [E126]",Information Science and Engineering,Information Science and Engineering [IE],"Yelahanka,Bengaluru",Bengaluru,IE,11728,0,0,12032,18507,15495,14631,0,31762,10968,0,13207,10461,0,13268,9744,18432,12490,46031,78831,66073,49500,55282,57816,28750
597,E099,New Horizon College of Engineering  Bangalore,New Horizon College of Engineering  Bangalore [E099],Information Science and Engineering,Information Science and Engineering [IE],"Kadabeesanahalli, Bengaluru",Bengaluru,IE,16429,29422,0,15527,24205,18856,19465,0,34528,14006,0,20174,15600,0,0,12776,17825,17112,52659,0,53579,54621,0,78219,29117
232,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Information Science and Engineering,Information Science and Engineering [IE],"Dhavalagiri, Dharwad",Dharwad,IE,0,0,0,15588,0,16464,19495,0,0,17292,0,0,14527,0,0,14026,19342,14261,46115,0,93091,51677,0,0,29261
152,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,EC,17417,0,0,18150,0,25433,20783,0,0,13540,0,14746,14016,0,0,13211,0,14693,45838,57884,59909,43209,0,53189,29429
387,E060,"Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]",Information Science and Engineering,Information Science and Engineering [IE],"Jnanabharathi Campus, Bengaluru",Bengaluru,IE,0,0,21637,19119,0,0,21014,0,0,18366,0,0,17696,0,0,16568,21046,19580,41594,83131,0,45406,0,0,29559
1326,E241,KLE Technological University(Formerly BVBCET)  Dharward Dist,KLE Technological University(Formerly BVBCET)  Dharward Dist [E241],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],Dharwad,Dharwad,EC,23702,0,23964,15010,16211,20049,16858,0,22557,16077,0,16833,14207,0,16822,11162,13384,16455,44744,47937,74837,59948,64821,61054,29831
8,E002,S K S J T Institute of Engineering.  Bangalore,S K S J T Institute of Engineering.  Bangalore [E002],Computers Science And Engineering,Computers Science And Engineering [CS],"Sampangi Rama Nagar, Bengaluru",Bengaluru,CS,24899,0,0,28336,0,0,0,0,0,23794,0,0,25299,0,25427,23163,24419,0,32790,36626,43970,34511,0,36547,29981
326,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Electronics and Telecommunication Engineering,Electronics and Telecommunication Engineering [ET],"Basavanagudi,Bengaluru",Bengaluru,ET,21035,0,0,12027,0,0,25048,0,60973,11091,0,0,9876,35830,0,8417,0,16939,44096,0,0,85612,0,0,30085
27,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Civil Engineering,Civil Engineering [CE],"Mysuru Rd,Bengaluru",Bengaluru,CE,26694,0,0,31724,0,38205,20700,0,0,0,0,0,19240,38667,0,18609,0,30465,46652,0,0,32690,0,0,30364
389,E061,University B.D.T. college of Engineering  Davangere,University B.D.T. college of Engineering  Davangere [E061],Computers Science And Engineering,Computers Science And Engineering [CS],Davanagere,Davanagere,CS,23587,0,0,21570,0,24902,23213,0,29745,26597,54469,0,19751,0,0,19330,20227,20821,37460,0,39762,44711,0,50828,30464
492,E082,J S S Academy of Technical Education  Bangalore,J S S Academy of Technical Education  Bangalore [E082],Computers Science And Engineering,Computers Science And Engineering [CS],"Dr.Vishnuvardhan Rd, Srinivapura Post, Bengaluru",Bengaluru,CS,17974,0,0,18786,23826,23906,21055,0,0,15303,0,0,15412,0,18377,13726,21123,15003,50893,63531,65786,47028,0,59540,30704
1399,E275,"R V Institute of Technology and Management  JP Nagar, Bengaluru","R V Institute of Technology and Management  JP Nagar, Bengaluru [E275]",Information Science and Engineering,Information Science and Engineering [IE],"JP nagar,Bengaluru",Bengaluru,IE,18493,34308,0,15813,0,18288,24705,0,31602,12852,0,0,12996,0,0,12685,24528,15991,60964,0,89630,58817,0,0,30833
646,E105,Nitte Meenakshi Institutute of Technology  Bangalore,Nitte Meenakshi Institutute of Technology  Bangalore [E105],Information Science and Engineering,Information Science and Engineering [IE],"Yelahanka, Bengaluru",Bengaluru,IE,14837,0,20460,14579,21692,16065,18539,0,0,11975,0,14443,12709,0,14449,11525,17523,12663,48420,71443,67457,51608,72636,74478,30921
722,E118,RNS Institute of Technology  Bangalore,RNS Institute of Technology  Bangalore [E118],Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"RR Nagar, Bengaluru",Bengaluru,AD,21511,0,0,20105,0,21060,0,0,0,16274,24920,0,15079,0,0,14901,0,16701,43141,0,93818,55744,0,0,31204
35,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Electronics and Telecommunication Engineering,Electronics and Telecommunication Engineering [ET],"Mysuru Rd,Bengaluru",Bengaluru,ET,0,0,0,6738,0,16284,9975,0,0,0,0,0,5457,0,0,4663,0,12245,34304,0,36070,67522,119357,0,31261
1398,E275,"R V Institute of Technology and Management  JP Nagar, Bengaluru","R V Institute of Technology and Management  JP Nagar, Bengaluru [E275]",Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"JP nagar,Bengaluru",Bengaluru,EC,21702,0,48973,21027,0,0,25252,0,0,19057,0,25592,15586,0,0,15290,32307,18066,61523,0,0,71338,0,0,31309
477,E079,Acharya Institute of Technology  Bangalore,Acharya Institute of Technology  Bangalore [E079],Computers Science And Engineering,Computers Science And Engineering [CS],"Hessarghatta Road,Bengaluru",Bengaluru,CS,24281,0,0,21015,24223,25736,26621,0,0,18190,0,0,18225,0,23501,17678,19674,22810,53339,59893,61848,43683,0,43942,31541
