,InstituteId,Institution,Location,City
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],"KR Circle, Bengaluru", Bengaluru
1,E002,S K S J T Institute of Engineering.  Bangalore [E002],"Sampangi Rama Nagar, Bengaluru", Bengaluru
2,E003,"B M S College of Engineering  Basavanagudi,Bangalore [E003]","Basavanagudi, Bengaluru", Bengaluru
3,E004,Dr. Ambedkar Institute Of Technology  Bangalore [E004],"Near Gnana Bharathi, Bengaluru", Bengaluru
4,E005,R. V. College of Engineering  Bangalore [E005],"Mysuru Rd,Bengaluru", Bengaluru
5,E006,M S Ramaiah Institute of Technology  Bangalore [E006],"MSRIT Post,Bengaluru", Bengaluru
6,E007,Dayananda Sagar College of Engineering  Bangalore [E007],"Kumaraswamy Layout, Bengaluru", Bengaluru
7,E008,Bangalore Institute of Technology  Bangalore [E008],"Basavanagudi, Bengaluru", Bengaluru
8,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Banashankari, Bengaluru", Bengaluru
9,E011,M V J College of Engineering  Bangalore [E011],"Kadugodi, Bengaluru", Bengaluru
10,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Hunasemaranahalli,Bengaluru", Bengaluru
11,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara", Ramanagara
12,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chikkaballapur", Chikkaballapur
13,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar", Kolar
14,E016,Siddaganga Institute of Technology  Tumakuru [E016],"Bangalore - Honnavar Rd,Tumakuru", Tumakuru
15,E017,Sri Siddartha Institute of Technology  Tumakuru [E017],"Tumakuru-Kunigal Rd, Saraswathipuram, Tumakuru", Tumakuru
16,E018,Kalpatharu Institute of Technology  Tiptur [E018],"Vidya Nagar, Tiptur, Tumakuru", Tumakuru
17,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],"University Of Mysore Campus, Mysore", Mysore
18,E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022],"Mananthavadi Rd,Mysore", Mysore
19,E023,P E S College of Engineering  Mandya [E023],"PES Engineering College Rd, Mandya", Mandya
20,E024,Malnad College of Engineering  Hassan [E024],"Rangoli Halla, Hassan", Hassan
21,E028,Tontadarya College of Engineering  Gadag [E028],"Kalyan Nagar, Gadag", Gadag
22,E029,Maratha Mandal Engineering College  Belgaum [E029],"Halbhavi Camp, Belgaum", Belgaum
23,E031,Basaveshwara Engineering College  Bagalkot [E031],"Vidayagiri, Bagalkot", Bagalkot
24,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],"Hulkoti, Gadag", Gadag
25,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri", Haveri
26,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad", Dharwad
27,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada", Uttara Kannada
28,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum", Belgaum
29,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum", Belgaum
30,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur", Bijapur
31,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]","Nidasoshi, Belgaum", Belgaum
32,E041,P D A College of Engineering  Gulbarga [E041],"Shambhognlli, Gulbarga", Gulbarga
33,E042,Khaja Banda Nawaz University  Kalburgi [E042],"KBN University Street, Khaja Colony, Gulbarga", Gulbarga
34,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar", Bidar
35,E044,Bheemanna Khandre Institute of Technology  Bhalki [E044],"Bhalki, Bidar", Bidar
36,E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari [E045],"Cantonment Bellary,Bellary", Bellary
37,E046,H K Es S L N College of Engineering  Raichur [E046],"Yeramarus Camp, Raichur", Raichur
38,E047,Malnad College of Engineering  Hassan [E047],"Rangoli Halla, Hassan", Hassan
39,E048,"B M S College of Engineering  Basavanagudi,Bangalore [E048]","Basavanagudi,Bengaluru", Bengaluru
40,E049,Basaveshwara Engineering College  Bagalkot [E049],Bagalkot, Bagalkot
41,E054,"K V G College of Engineering  Sullia,D.K District [E054]","Sullia, Dakshina Kannada", Dakshina Kannada
42,E055,"P A College of Engineering  Bantwal, Mangalore [E055]","Bantwal, Dakshina Kannada", Dakshina Kannada
43,E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E056],"Manandavadi Road, Mysore", Mysore
44,E057,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],"University Of Mysore Campus, Mysore", Mysore
45,E058,P E S College of Engineering  Mandya [E058],"P.E.S. Engineering College Road, Mandya", Mandya
46,E059,P D A College of Engineering  Gulbarga [E059],"Shambhognlli, Gulbarga", Gulbarga
47,E060,"Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]","Jnanabharathi Campus, Bengaluru", Bengaluru
48,E061,University B.D.T. college of Engineering  Davanagere [E061],Davanagere, Davanagere
49,E062,Bapuji Institute of Engineering and Technology  Davanagere [E062],"BIET, Davanagere", Davanagere
50,E063,SJM Institute of Techonology  Chitradurga [E063],"Hanumantha Nagara, Chitradurga", Chitradurga
51,E064,Adhichunchanagiri Institute of Technology  Chickmagalur [E064],"Jyothi nagara, Chikkamagaluru", Chikkamagaluru
52,E065,Jawaharlal Nehru National College of Engineering  Shivamogga [E065],"Navule, Shivamogga", Shivamogga
53,E070,"Bahubali College of Engineering  Hassan Dist, [E070]","Gommatanagar,Hassan", Hassan
54,E071,Vidya Vardhaka College of Engineering  Mysuru [E071],"Gokulam, Mysore", Mysore
55,E075,Ballari Institute of Technology and Management  Near Allipur Bellary [E075],"Near Allipur, Bellary", Bellary
56,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT [E076]","Hosapete, Bellary", Bellary
57,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru [E077],"Alanahally, Mysore", Mysore
58,E078,The Oxford College of Engineering  Bangalore [E078],"Hosur Road, Bengaluru", Bengaluru
59,E079,Acharya Institute of Technology  Bangalore [E079],"Hessarghatta Road,Bengaluru", Bengaluru
60,E081,H M S Institute of Technology  Tumakuru [E081],"Kyathasandra,Tumakuru", Tumakuru
61,E082,J S S Academy of Technical Education  Bangalore [E082],"Dr.Vishnuvardhan Rd, Srinivapura Post, Bengaluru", Bengaluru
62,E083,H.K.B.K.College of Engineering  Bangalore [E083],"Nagavara, Bengaluru", Bengaluru
63,E085,"APS College of Engineering  Somanahalli, Bangalore [E085]", Bengaluru, Bengaluru
64,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore [E086]","Anekal,Bengaluru", Bengaluru
65,E087,Vivekananada Institute of Technology  Bangalore [E087],"Kumbalagodu, Bengaluru", Bengaluru
66,E088,"Bangalore College of Engineering and Technology  Chandapura, Bangalore [E088]","Chandapura, Bengaluru", Bengaluru
67,E090,Sri Revana Siddeswara Institute of Technology  Bangalore North [E090],"Chikkajala,Bengaluru", Bengaluru
68,E091,K S Institute of Technology  Bangalore [E091],"Raghuvanahalli, Bengaluru", Bengaluru
69,E092,Vemana Institute of Technology  Bangalore [E092],"Koramangala, Bengaluru", Bengaluru
70,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist [E093]","Basavakalyana, Bidar", Bidar
71,E094,Coorg Institute of Technology  Kodagu [E094],"Ponnampet,Kodagu", Kodagu
72,E095,AMC Engineering College  Bangalore [E095],"Bannerghatta Main Rd, Bengaluru", Bengaluru
73,E096,East Point College of Engineering and Technology  Bangalore [E096],"Virgo Nagar, Bengaluru", Bengaluru
74,E097,C M R Institute of Technology  Bangalore [E097],"Brookefield, Bengaluru", Bengaluru
75,E098,Atria Institute of Technology  Bangalore [E098],"Hebbal, Bengaluru", Bengaluru
76,E099,New Horizon College of Engineering  Bangalore [E099],"Kadabeesanahalli, Bengaluru", Bengaluru
77,E100,K N S Institute of Technology  Bangalore [E100],"Uttarahalli Hobli, Bengaluru", Bengaluru
78,E101,"Channabasaveshwara Institute of Technology  Gubbi, Tumakuru [E101]","Gubbi, Tumakuru", Tumakuru
79,E102,DONBOSCO Institute of Technology  Bangalore [E102],"Kumbalgodu,Bengaluru", Bengaluru
80,E103,Global Academy of Technology  Bangalore [E103],"RR Nagar, Bengaluru", Bengaluru
81,E104,Nagarjuna College of Engineering and Technology  Bangalore (R) [E104],"Hyderabad highway , Bengaluru", Bengaluru
82,E105,Nitte Meenakshi Institutute of Technology  Bangalore [E105],"Yelahanka, Bengaluru", Bengaluru
83,E106,East West Institute of Technology  Bangalore [E106],"Yelahanka, Bengaluru", Bengaluru
84,E107,B N M Institute of Technology  Bangalore [E107],"Banashankari, Bengaluru", Bengaluru
85,E108,Sapthagiri College of Engineering  Bangalore [E108],"Hesarghatta Main Rd, Bengaluru", Bengaluru
86,E109,City Engineering College  Bangalore [E109],"Doddakallasandra, Bengaluru", Bengaluru
87,E111,"Sri Venkateshwara College of Engineering  Bettahalsur(P), Bangalore [E111]","Bettahalsur(P), Bengaluru", Bengaluru
88,E112,Sri Krishna Institute of Technology  Bangalore [E112],"Chikkabanavara, Bengaluru", Bengaluru
89,E113,Sambhram Institute of Technology  Bangalore [E113],"Jalahalli East, Bengaluru", Bengaluru
90,E114,G M Institute of Technology  Davanagere [E114],Davanagere, Davanagere
91,E115,"S J B Institute of Technology  Kengeri,Bangalore (ATNMS) [E115]","Kengeri,Bengaluru", Bengaluru
92,E116,R.L.Jalappa Institute of Technology  Bangalore Rural Dist [E116],"Doddaballapur, Bengaluru Rural", Bengaluru Rural
93,E118,RNS Institute of Technology  Bangalore [E118],"RR Nagar, Bengaluru", Bengaluru
94,E119,"K C T Engineering College  Roza(B),Gulbarga [E119]","Roza,Gulbarga", Gulbarga
95,E120,Jnanavikasa Institute of Technology  Ramanagara-Dist [E120],Ramanagara, Ramanagara
96,E121,Vivekananada College of Engineering Technology  D K DIST [E121],Dakshina Kannada, Dakshina Kannada
97,E123,Canara Engineering College Bantwal  DK DIST [E123],"Bantwal,Dakshina Kannada", Dakshina Kannada
98,E124,"Rajiv Gandhi Institute of Technology  R.T Nagar Post, Bangalore [E124]","R.T Nagar Post, Bengaluru", Bengaluru
99,E126,"B M S Institute of Technology and Management  Yelahanka, Bangalore [E126]","Yelahanka,Bengaluru", Bengaluru
100,E127,M S Engineering College  Bangalore Urban [E127],"Off Bengaluru International Airport, Bengaluru", Bengaluru
101,E128,"Sharnbasva University(Formerly Appa Inst. of Tech.)  Brahmpur, Kalaburagi [E128]","Brahmpur, Gulbarga", Gulbarga
102,E129,St. Joseph Engineering College  Mangalore [E129],"Mangalore, Dakshina Kannada", Dakshina Kannada
103,E130,Shridevi Institute of Engineering and Technology  Tumakuru [E130],Tumakuru, Tumakuru
104,E132,Secab Institute of Engineering and Technology  Bijapur [E132],Bijapur, Bijapur
105,E133,G S S S Institute of Engineering and Technology for Women  Mysore [E133],Mysore, Mysore
106,E134,"Smt. Kamala and Sri Venkappa M.Agadi College of Engg. and Tech.  Laxmeshwara-Tq, Gadag Dt. [E134]","Laxmeshwara, Gadag", Gadag
107,E135,"K L S Viswanathrao Deshpande Institute of Technology  Haliyal, Uttara Kannada -Dist [E135]","Haliyal, Uttara Kannada", Uttara Kannada
108,E136,Moodalakatte Institute of Technology  Udupi District [E136],Udupi, Udupi
109,E139,Impact College of Engineering and Applied Sciences  Bangalore [E139],"Sahakara Nagar, Bengaluru", Bengaluru
110,E141,P E S University (Electronic City Campus)  Bangalore [E141],"Electronic city,Bengaluru", Bengaluru
111,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist. [E142]","Nagamangala ,Mandya", Mandya
112,E144,Srinivas Institute of Technology  Mangalore. [E144],"Mangalore, Dakshina Kannada", Dakshina Kannada
113,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore [E145]","Kumbalagodu, Bengaluru", Bengaluru
114,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore [E146]","Kenjar, Mangalore, Dakshina Kannada", Dakshina Kannada
115,E147,T.John Engineering College  Bangalore [E147],"Bannerghatta Main Rd, Bengaluru", Bengaluru
116,E149,Cambridge Institutute of Technology  Bangalore [E149],"Chikkabasavanapura, Bengaluru", Bengaluru
117,E150,P E S Institute of Technology and Management  Shivamogga [E150],Shivamogga, Shivamogga
118,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K [E151]","Mangalore, Dakshina Kannada", Dakshina Kannada
119,E152,"S D M Institute of Tech.  Ujire,Dakshina Kannada [E152]","Ujire,Dakshina Kannada", Dakshina Kannada
120,E153,S E A College of Engineering and Technology  K R puram bangalore [E153],"K R puram,Bengaluru", Bengaluru
121,E154,Government Engineering College  Chamarajanagara [E154],Chamarajanagara, Chamarajanagara
122,E155,Government Engineering College  Hassan [E155],Hassan, Hassan
123,E156,"Government Engineering College  K R Pet, Mandya DT. [E156]","K R Pet, Mandya", Mandya
124,E157,Government Engineering College  Ramanagara [E157],Ramanagara, Ramanagara
125,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist [E158]","Belawadi, Mandya", Mandya
126,E159,Karavali Institute of Technology  Mangalore [E159],"Mangalore, Dakshina Kannada", Dakshina Kannada
127,E160,Sahyadri College of Engg. and Management  Mangalore [E160],"Mangalore, Dakshina Kannada", Dakshina Kannada
128,E161,"Government Engineering College  Kushalnagar,Kodagu Dist [E161]",Kodagu, Kodagu
129,E162,Government Engineering College  Raichur [E162],Raichur, Raichur
130,E163,"Government Engineering College  Devagiri,Haveri [E163]","Devagiri,Haveri", Haveri
131,E164,"Government Engineering College  Huvina Hadagali,Bellary Dist. [E164]",Bellary, Bellary
132,E165,"Yenepoya Institute of Technology  Thodar,Moodbidri [E165]","Thodar, Moodbidri, Dakshina Kannada",Dakshina Kannada
133,E166,K L E Institute of Technology  Hubli [E166],Hubli, Hubli
134,E167,"K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist. [E167]","Chikkodi, Belgaum", Belgaum
135,E168,"Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore [E168]","Bidadi,Bengaluru", Bengaluru
136,E169,"Alva`s Institute of Engineering and Technology  Moodabidri, [E169]","Moodabidri, Dakshina Kannada", Dakshina Kannada
137,E171,"Brindavan College of Engineering  Yelahanka, Bangalore [E171]","Yelahanka,Bengaluru", Bengaluru
138,E172,"R.R.Institute of Technology  Chikkabanavara, Bangalore [E172]","Chikkabavanara,Bengaluru", Bengaluru
139,E173,Sai Vidya Institute of Technology  Bangalore [E173],"Rajanukunte, Bengaluru", Bengaluru
140,E174,"Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist, [E174]","Kammasandra, Bengaluru Rural", Bengaluru Rural
141,E175,S.G.Balekundri Institute of Technology  Belgaum [E175],Belgaum, Belgaum
142,E176,Navodaya Institute of Technology  Raihcur [E176],Raichur, Raichur
143,E177,Rajeev Institute of Technology  Hassan [E177],"Bommanayankanahally, Hassan", Hassan
144,E178,The National Institute of Engineering(NORTH CAMPUS)  Mysore [E178],Mysore, Mysore
145,E180,Bearys Institute of Technology  Mangalore [E180],"Mangalore, Dakshina Kannada", Dakshina Kannada
146,E181,"Sri Basaveswara Institute of Technology  Tiptur, Tumakuru(D) [E181]","Tiptur, Tumakuru", Tumakuru
147,E183,Sha-Shib College of Engineering  Chickballapur [E183], Chikkaballapur, Chikkaballapur
148,E184,C Byre Gowda Institute of Technology  Kolar [E184],Kolar, Kolar
149,E185,Angadi Institute of Technology and Management  Belgaum [E185],Belgaum, Belgaum
150,E186,"ACS College of Engineering  Kengeri Hobli,Bangalore [E186]","Kengeri Hobli,Bengaluru", Bengaluru
151,E188,Vijaya Vittala Institute of Technology  Bangalore [E188],"Kothanur, Bengaluru", Bengaluru
152,E189,"Navkis College of Engineering (Formerly NDRKIT)  Kandali, Hassan [E189]","Kandali, Hassan", Hassan
153,E191,Akshaya Institute of Technology  Tumakuru [E191],Tumakuru, Tumakuru
154,E193,"Srinivas University  Mukka, Suratkal, Mangalore [E193]","Mukka, Mangalore, Dakshina Kannada", Dakshina Kannada
155,E194,Government Engineering College  KARWAR [E194],Karwar, Karwar
156,E196,"Jain College of Engineering  Machche,Belgaum [E196]",Belgaum, Belgaum
157,E197,Veerappa Nisty Engineering College  Yadigir Dist [E197],Yadagiri, Yadagiri
158,E198,Sharnbasva University College for Women(Formerly Godutai)  Gulbarga [E198],Gulbarga, Gulbarga
159,E199,"AGM Rural Engineering College  Hubli, Darward (D) [E199]",Hubli, Hubli 
160,E201,"Gopalan College of Engineering and Management  White Field, Bangalore [E201]","White field,Bengaluru", Bengaluru
161,E202,Sampoorna Institute of Technology and Research  Ramanagara (D) [E202],Ramanagara, Ramanagara
162,E203,"K.S. School of Engineering And Management  Mallasandra, Bangalore [E203]","Mallasandra,Bengaluru", Bengaluru
163,E204,"Bangalore Technological  Institute  Sarjapura Rd, Bangalore [E204]","Sarjapura Rd, Bengaluru", Bengaluru
164,E205,"ATME College of Engineering  Varun  hobli,Mysore [E205]","Varun hobli,Mysore", Mysore
165,E206,Shri Madhwa Vadiraja Institute of Technology and Management  Udupi Dist [E206],Udupi, Udupi
166,E207,"VSMs Somashekar R Kothiwale Institute of Technology  Nippani, Belgaum- Dist [E207]","Nippani, Belgaum", Belgaum
167,E208,Achutha Institute of Technology  Bangalore [E208],"Yelahanka, Bengaluru", Bengaluru
168,E209,Jyothi Institute of Technology  Bangalore [E209],"Thathaguni, Bengaluru", Bengaluru
169,E210,"G Madegowda Institute of Technology  Maddur Taluk, Mandya  DIST [E210]","Maddur , Mandya", Mandya
170,E211,"Jain Institute of Technology  Cross,Davanagere [E211]",Davanagere, Davanagere
171,E212,Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore [E212],"Kanakapur,Bengaluru", Bengaluru
172,E213,Lingarajappa Engineering College  Bidar [E213],Bidar, Bidar
173,E216,Shetty Institute of Technology  Gulbarga [E216],Gulbarga, Gulbarga
174,E220,Alliance University  Bangalore [E220],"Anekal, Bengaluru", Bengaluru
175,E221,"Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist [E221]","Mudhol,Bagalkot", Bagalkot
176,E222,"Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R) [E222]","Devanahalli,Bengaluru", Bengaluru
177,E225,S.J.B School of Architecture and Planning  Bangalore [E225],Bengaluru, Bengaluru
178,E227,Cauvery Institute of Technology  Mandya tq [E227],Mandya, Mandya
179,E232,Reva University  Bangalore [E232],"Yelahanka, Bengaluru", Bengaluru
180,E235,M.S. Ramaiah University of Applied Sciences  Bangalore [E235],"New BEL Rd, MSR Nagar, Bengaluru", Bengaluru
181,E237,"Presidency University  Yelahanka, Bangalore [E237]","Yelahanka,Bengaluru", Bengaluru
182,E238,Mysuru Royal Institute of Technology  Mandya (D) [E238],Mandya, Mandya
183,E239,"East West College of Engineering  Yelahanka New Town, Bangalore [E239]","Yelahanka,Bengaluru", Bengaluru
184,E240,"Dayananda Sagar University  Hosur Road, Bangalore [E240]","Hosur,Bengaluru", Bengaluru
185,E241,KLE Technological University(Formerly BVBCET)  Dharward Dist [E241],Dharwad, Dharwad
186,E252,Mysore College of Engineering and Management  Mysore [E252],Mysore, Mysore
187,E254,A J Institute Of Engineering And Technology  MANGALORE [E254],"Mangalore, Dakshina Kannada", Dakshina Kannada
188,E255,Gitam School Of Technology  BANGALORE RURAL DIST [E255],"Doddaballapura, Bengaluru Rural", Bengaluru Rural
189,E257,"CMR University  CHAGALATTI, BANGALORE [E257]","Chagalatti, Bengaluru", Bengaluru
190,E258,"Maharaja Institute of Technology  THANDAVAPURA, MYSORE [E258]","Thandavapura, Mysore", Mysore
191,E260,Nitte School of Architecture  YELAHANKA BANGALORE [E260],"Yelahanka,Bengaluru", Bengaluru
192,E263,School of Planning and Architecture  Mysore [E263], Mysore,  Mysore
193,E264,"Basava Engineering School of Technology  Zalaki, Vijaypura Dist. [E264]","Zalaki, Bijapur", Bijapur
194,E265,Jain College of Engineering and Technology  Hubballi [E265],Hubli, Hubli
195,E269,"Jain College of Engineering and Research  Udyambhag, Belgaum [E269]","Udyambhag, Belgaum", Belgaum
196,E272,"Government Engineering College  Talakal,Koppal [E272]","Talakal,Koppal", Koppal
197,E273,"Government Engineering College  Viprasainagar, Gangavathi [E273]","Viprasainagar, Gangavathi, Koppal", Koppal
198,E274,"Government Engineering College  Moselehosahalli,Hassan [E274]","Moselehosahalli,Hassan", Hassan
199,E275,"R V Institute of Technology and Management  JP Nagar, Bengaluru [E275]","JP nagar,Bengaluru", Bengaluru
200,E278,"Visvesvaraya Technological University  Muddenahalli,Chikkaballapur [E278]","Muddenahalli,Chikkaballapur", Chikkaballapur
201,E279,Visvesvaraya Technological University  Belgaum [E279],Belgaum, Belgaum
202,E281,"Government Engineering College  Challakere,Chitradurga [E281]", Chitradurga, Chitradurga
203,E283,University of Mysore  Mysore [E283], Mysore, Mysore
204,E284,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E284], Mysore, Mysore
205,E285,R V University  Bangalore [E285], Bengaluru, Bengaluru
206,E286,"BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore [E286]",Bengaluru, Bengaluru
207,E287,Vidyashilp University  Bangalore [E287], Bengaluru, Bengaluru
208,E288,Garden City University  Bangalore [E288], Bengaluru, Bengaluru
209,E289,"Visvesvaraya Technological University - Regional Center  Rajapur,Kalburgi [E289]", Kalburgi, Kalburgi
210,E290,Visvesvaraya Technological University - Regional Center  Mysore [E290], Mysore, Mysore
211,E291,"Government Engineering College  Naragund,Gadag [E291]", Gadag, Gadag
212,E292,Government Engineering College  Bidar [E292], Bidar, Bidar
213,E297,"ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE [E297]", Bengaluru, Bengaluru
214,E299,"Ghousia Institute of Technology for Women, Bangalore  BANGALORE [E299]", Bengaluru, Bengaluru
215,E300,"AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL [E300]", Bengaluru Rural, Bengaluru Rural
216,E301,KISHKINDA UNIVERSITY  BELLARI [E301], Bellary, Bellary
217,E302,"AMITY UNIVERSITY  DEVANAHALLI ,BANAGLORE [E302]", Bengaluru, Bengaluru
218,E303,"G M UNIVERSITY  KARUR VILLAGE, DAVANGERE [E303]",Davanagere, Davanagere
