,InstituteId,InstituteName,Institution
0,E254, A J Institute Of Engineering And Technology  MANGALORE, A J Institute Of Engineering And Technology  MANGALORE [E254]
1,E186," ACS College of Engineering  Kengeri Hobli,Bangalore"," ACS College of Engineering  Kengeri Hobli,Bangalore [E186]"
2,E297," ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE"," ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE [E297]"
3,E199," AGM Rural Engineering College  Hubli, Darward (D)"," AGM Rural Engineering College  Hubli, Darward (D) [E199]"
4,E300," AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL"," AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL [E300]"
5,E095, AMC Engineering College  Bangalore, AMC Engineering College  Bangalore [E095]
6,E302," AMITY UNIVERSITY  DEVANAHALLI ,BANAGLORE"," AMITY UNIVERSITY  DEVANAHALLI ,BANAGLORE [E302]"
7,E085," APS College of Engineering  Somanahalli, Bangalore"," APS College of Engineering  Somanahalli, Bangalore [E085]"
8,E205," ATME College of Engineering  Varun  hobli,Mysore"," ATME College of Engineering  Varun  hobli,Mysore [E205]"
9,E079, Acharya Institute of Technology  Bangalore, Acharya Institute of Technology  Bangalore [E079]
10,E208, Achutha Institute of Technology  Bangalore, Achutha Institute of Technology  Bangalore [E208]
11,E064, Adhichunchanagiri Institute of Technology  Chickmagalur, Adhichunchanagiri Institute of Technology  Chickmagalur [E064]
12,E142," Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist."," Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist. [E142]"
13,E191, Akshaya Institute of Technology  Tumkur, Akshaya Institute of Technology  Tumkur [E191]
14,E220, Alliance University  Bangalore, Alliance University  Bangalore [E220]
15,E169," Alva`s Institute of Engineering and Technology  Moodabidri,"," Alva`s Institute of Engineering and Technology  Moodabidri, [E169]"
16,E168," Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore"," Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore [E168]"
17,E185, Angadi Institute of Technology and Management  Belgaum, Angadi Institute of Technology and Management  Belgaum [E185]
18,E035," Anjuman Engineering College  Bhatkala, Uttar kannada Dist"," Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]"
19,E098, Atria Institute of Technology  Bangalore, Atria Institute of Technology  Bangalore [E098]
20,E038, B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur, B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038]
21,E003," B M S College of Engineering  Basavanagudi,Bangalore"," B M S College of Engineering  Basavanagudi,Bangalore [E003]"
22,E048," B M S College of Engineering  Basavanagudi,Bangalore"," B M S College of Engineering  Basavanagudi,Bangalore [E048]"
23,E126," B M S Institute of Technology and Management  Yelahanka, Bangalore"," B M S Institute of Technology and Management  Yelahanka, Bangalore [E126]"
24,E107, B N M Institute of Technology  Bangalore, B N M Institute of Technology  Bangalore [E107]
25,E286," BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore"," BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore [E286]"
26,E070," Bahubali College of Engineering  Hassan Dist,"," Bahubali College of Engineering  Hassan Dist, [E070]"
27,E075, Ballari Institute of Technology and Management  Near Allipur Bellary, Ballari Institute of Technology and Management  Near Allipur Bellary [E075]
28,E088," Bangalore College of Engineering and Technology  Chandapura, Bangalore"," Bangalore College of Engineering and Technology  Chandapura, Bangalore [E088]"
29,E008, Bangalore Institute of Technology  Bangalore, Bangalore Institute of Technology  Bangalore [E008]
30,E204," Bangalore Technological  Institute  Sarjapura Rd, Bangalore"," Bangalore Technological  Institute  Sarjapura Rd, Bangalore [E204]"
31,E062, Bapuji Institute of Engineering and Technology  Davangere, Bapuji Institute of Engineering and Technology  Davangere [E062]
32,E264," Basava Engineering School of Technology  Zalaki, Vijaypura Dist."," Basava Engineering School of Technology  Zalaki, Vijaypura Dist. [E264]"
33,E093," Basavakalyana Engineering College  Basavakalyana, Bidar-Dist"," Basavakalyana Engineering College  Basavakalyana, Bidar-Dist [E093]"
34,E049, Basaveshwara Engineering College  Bagalkot, Basaveshwara Engineering College  Bagalkot [E049]
35,E031, Basaveshwara Engineering College  Bagalkot, Basaveshwara Engineering College  Bagalkot [E031]
36,E180, Bearys Institute of Technology  Mangalore, Bearys Institute of Technology  Mangalore [E180]
37,E044, Bheemanna Khandre Institute of Technology  Bhalki, Bheemanna Khandre Institute of Technology  Bhalki [E044]
38,E221," Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist"," Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist [E221]"
39,E171," Brindavan College of Engineering  Yelahanka, Bangalore"," Brindavan College of Engineering  Yelahanka, Bangalore [E171]"
40,E184, C Byre Gowda Institute of Technology  Kolar, C Byre Gowda Institute of Technology  Kolar [E184]
41,E097, C M R Institute of Technology  Bangalore, C M R Institute of Technology  Bangalore [E097]
42,E257," CMR University  CHAGALATTI, BANGALORE"," CMR University  CHAGALATTI, BANGALORE [E257]"
43,E149, Cambridge Institutute of Technology  Bangalore, Cambridge Institutute of Technology  Bangalore [E149]
44,E222," Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R)"," Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R) [E222]"
45,E123, Canara Engineering College Bantwal  DK DIST, Canara Engineering College Bantwal  DK DIST [E123]
46,E227, Cauvery Institute of Technology  Mandya tq, Cauvery Institute of Technology  Mandya tq [E227]
47,E101," Channabasaveshwara Institute of Technology  Gubbi, Tumkur"," Channabasaveshwara Institute of Technology  Gubbi, Tumkur [E101]"
48,E109, City Engineering College  Bangalore, City Engineering College  Bangalore [E109]
49,E094, Coorg Institute of Technology  Kodagu, Coorg Institute of Technology  Kodagu [E094]
50,E102, DONBOSCO Institute of Technology  Bangalore, DONBOSCO Institute of Technology  Bangalore [E102]
51,E212, Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore, Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore [E212]
52,E007, Dayananda Sagar College of Engineering  Bangalore, Dayananda Sagar College of Engineering  Bangalore [E007]
53,E240," Dayananda Sagar University  Hosur Road, Bangalore"," Dayananda Sagar University  Hosur Road, Bangalore [E240]"
54,E004, Dr. Ambedkar Institute Of Technology  Bangalore, Dr. Ambedkar Institute Of Technology  Bangalore [E004]
55,E060," Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore"," Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]"
56,E174," Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist,"," Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering  Bangalore Rural -Dist, [E174]"
57,E015, Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District, Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015]
58,E096, East Point College of Engineering and Technology  Bangalore, East Point College of Engineering and Technology  Bangalore [E096]
59,E239," East West College of Engineering  Yelahanka New Town, Bangalore"," East West College of Engineering  Yelahanka New Town, Bangalore [E239]"
60,E106, East West Institute of Technology  Bangalore, East West Institute of Technology  Bangalore [E106]
61,E114, G M Institute of Technology  Davanagere, G M Institute of Technology  Davanagere [E114]
62,E303," G M UNIVERSITY  KARUR VILLAGE, DAVANGERE"," G M UNIVERSITY  KARUR VILLAGE, DAVANGERE [E303]"
63,E210," G Madegowda Institute of Technology  Maddur Taluk, Mandya  DIST"," G Madegowda Institute of Technology  Maddur Taluk, Mandya  DIST [E210]"
64,E133, G S S S Institute of Engineering and Technology for Women  Mysore, G S S S Institute of Engineering and Technology for Women  Mysore [E133]
65,E288, Garden City University  Bangalore, Garden City University  Bangalore [E288]
66,E013, Ghousia Engineering College  Ramanagara, Ghousia Engineering College  Ramanagara [E013]
67,E299," Ghousia Institute of Technology for Women, Bangalore  BANGALORE"," Ghousia Institute of Technology for Women, Bangalore  BANGALORE [E299]"
68,E255, Gitam School Of Technology  BANGALORE RURAL DIST, Gitam School Of Technology  BANGALORE RURAL DIST [E255]
69,E103, Global Academy of Technology  Bangalore, Global Academy of Technology  Bangalore [E103]
70,E201," Gopalan College of Engineering and Management  White Field, Bangalore"," Gopalan College of Engineering and Management  White Field, Bangalore [E201]"
71,E292, Government Engineering College  Bidar, Government Engineering College  Bidar [E292]
72,E281," Government Engineering College  Challakere,Chitradurga"," Government Engineering College  Challakere,Chitradurga [E281]"
73,E154, Government Engineering College  Chamarajanagara, Government Engineering College  Chamarajanagara [E154]
74,E163," Government Engineering College  Devagiri,Haveri"," Government Engineering College  Devagiri,Haveri [E163]"
75,E155, Government Engineering College  Hassan, Government Engineering College  Hassan [E155]
76,E164," Government Engineering College  Huvina Hadagali,Bellary Dist."," Government Engineering College  Huvina Hadagali,Bellary Dist. [E164]"
77,E156," Government Engineering College  K R Pet, Mandya DT."," Government Engineering College  K R Pet, Mandya DT. [E156]"
78,E194, Government Engineering College  KARWAR, Government Engineering College  KARWAR [E194]
79,E161," Government Engineering College  Kushalnagar,Kodagu Dist"," Government Engineering College  Kushalnagar,Kodagu Dist [E161]"
80,E274," Government Engineering College  Moselehosahalli,Hassan"," Government Engineering College  Moselehosahalli,Hassan [E274]"
81,E291," Government Engineering College  Naragund,Gadag"," Government Engineering College  Naragund,Gadag [E291]"
82,E162, Government Engineering College  Raichur, Government Engineering College  Raichur [E162]
83,E157, Government Engineering College  Ramanagara, Government Engineering College  Ramanagara [E157]
84,E272," Government Engineering College  Talakal,Koppal"," Government Engineering College  Talakal,Koppal [E272]"
85,E273," Government Engineering College  Viprasainagar, Gangavathi"," Government Engineering College  Viprasainagar, Gangavathi [E273]"
86,E043, Gurunanak Dev Engineering College  Bidar, Gurunanak Dev Engineering College  Bidar [E043]
87,E046, H K Es S L N College of Engineering  Raichur, H K Es S L N College of Engineering  Raichur [E046]
88,E081, H M S Institute of Technology  Tumkur, H M S Institute of Technology  Tumkur [E081]
89,E083, H.K.B.K.College of Engineering  Bangalore, H.K.B.K.College of Engineering  Bangalore [E083]
90,E040," Hira Sugar Institute of Technology  Belagavi District,"," Hira Sugar Institute of Technology  Belagavi District, [E040]"
91,E139, Impact College of Engineering and Applied Sciences  Bangalore, Impact College of Engineering and Applied Sciences  Bangalore [E139]
92,E082, J S S Academy of Technical Education  Bangalore, J S S Academy of Technical Education  Bangalore [E082]
93,E057, JSS Science and Technology University(Formerly SJCE)  Mysore, JSS Science and Technology University(Formerly SJCE)  Mysore [E057]
94,E196," Jain College of Engineering  Machche,Belgaum"," Jain College of Engineering  Machche,Belgaum [E196]"
95,E269," Jain College of Engineering and Research  Udyambhag, Belgaum"," Jain College of Engineering and Research  Udyambhag, Belgaum [E269]"
96,E265, Jain College of Engineering and Technology  Hubballi, Jain College of Engineering and Technology  Hubballi [E265]
97,E211," Jain Institute of Technology  Cross,Davanagere"," Jain Institute of Technology  Cross,Davanagere [E211]"
98,E065, Jawaharlal Nehru National College of Engineering  Shimoga, Jawaharlal Nehru National College of Engineering  Shimoga [E065]
99,E120, Jnanavikasa Institute of Technology  Ramanagar-Dist, Jnanavikasa Institute of Technology  Ramanagar-Dist [E120]
100,E209, Jyothi Institute of Technology  Bangalore, Jyothi Institute of Technology  Bangalore [E209]
101,E119," K C T Engineering College  Roza(B),Gulbarga"," K C T Engineering College  Roza(B),Gulbarga [E119]"
102,E166, K L E Institute of Technology  Hubli, K L E Institute of Technology  Hubli [E166]
103,E167," K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist."," K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist. [E167]"
104,E135," K L S Viswanathrao Deshpande Institute of Technology  Haliyal, Uttara Kannada -Dist"," K L S Viswanathrao Deshpande Institute of Technology  Haliyal, Uttara Kannada -Dist [E135]"
105,E100, K N S Institute of Technology  Bangalore, K N S Institute of Technology  Bangalore [E100]
106,E091, K S Institute of Technology  Bangalore, K S Institute of Technology  Bangalore [E091]
107,E054," K V G College of Engineering  Sullia,D.K District"," K V G College of Engineering  Sullia,D.K District [E054]"
108,E037, K.L.S. Gogte Institute of Technology  Belgaum, K.L.S. Gogte Institute of Technology  Belgaum [E037]
109,E203," K.S. School of Engineering And Management  Mallasandra, Bangalore"," K.S. School of Engineering And Management  Mallasandra, Bangalore [E203]"
110,E301, KISHKINDA UNIVERSITY  BELLARI, KISHKINDA UNIVERSITY  BELLARI [E301]
111,E241, KLE Technological University(Formerly BVBCET)  Dharward Dist, KLE Technological University(Formerly BVBCET)  Dharward Dist [E241]
112,E036, KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum, KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036]
113,E018, Kalpatharu Institute of Technology  Tiptur, Kalpatharu Institute of Technology  Tiptur [E018]
114,E159, Karavali Institute of Technology  Mangalore, Karavali Institute of Technology  Mangalore [E159]
115,E042, Khaja Banda Nawaz University  Kalburgi, Khaja Banda Nawaz University  Kalburgi [E042]
116,E213, Lingarajappa Engineering College  Bidar, Lingarajappa Engineering College  Bidar [E213]
117,E127, M S Engineering College  Bangalore Urban, M S Engineering College  Bangalore Urban [E127]
118,E006, M S Ramaiah Institute of Technology  Bangalore, M S Ramaiah Institute of Technology  Bangalore [E006]
119,E011, M V J College of Engineering  Bangalore, M V J College of Engineering  Bangalore [E011]
120,E235, M.S. Ramaiah University of Applied Sciences  Bangalore, M.S. Ramaiah University of Applied Sciences  Bangalore [E235]
121,E258," Maharaja Institute of Technology  THANDAVAPURA, MYSORE"," Maharaja Institute of Technology  THANDAVAPURA, MYSORE [E258]"
122,E158," Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist"," Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist [E158]"
123,E024, Malnad College of Engineering  Hassan, Malnad College of Engineering  Hassan [E024]
124,E047, Malnad College of Engineering  Hassan, Malnad College of Engineering  Hassan [E047]
125,E151," Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K"," Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K [E151]"
126,E029, Maratha Mandal Engineering College  Belgaum, Maratha Mandal Engineering College  Belgaum [E029]
127,E136, Moodalakatte Institute of Technology  Udupi District, Moodalakatte Institute of Technology  Udupi District [E136]
128,E252, Mysore College of Engineering and Management  Mysore, Mysore College of Engineering and Management  Mysore [E252]
129,E238, Mysuru Royal Institute of Technology  Mandya (D), Mysuru Royal Institute of Technology  Mandya (D) [E238]
130,E104, Nagarjuna College of Engineering and Technology  Bangalore (R), Nagarjuna College of Engineering and Technology  Bangalore (R) [E104]
131,E189," Navkis College of Engineering (Formerly NDRKIT)  Kandali, Hassan"," Navkis College of Engineering (Formerly NDRKIT)  Kandali, Hassan [E189]"
132,E176, Navodaya Institute of Technology  Raihcur, Navodaya Institute of Technology  Raihcur [E176]
133,E099, New Horizon College of Engineering  Bangalore, New Horizon College of Engineering  Bangalore [E099]
134,E105, Nitte Meenakshi Institutute of Technology  Bangalore, Nitte Meenakshi Institutute of Technology  Bangalore [E105]
135,E260, Nitte School of Architecture  YELAHANKA BANGALORE, Nitte School of Architecture  YELAHANKA BANGALORE [E260]
136,E055," P A College of Engineering  Bantwal, Mangalore"," P A College of Engineering  Bantwal, Mangalore [E055]"
137,E041, P D A College of Engineering  Gulbarga, P D A College of Engineering  Gulbarga [E041]
138,E059, P D A College of Engineering  Gulbarga, P D A College of Engineering  Gulbarga [E059]
139,E058, P E S College of Engineering  Mandya, P E S College of Engineering  Mandya [E058]
140,E023, P E S College of Engineering  Mandya, P E S College of Engineering  Mandya [E023]
141,E150, P E S Institute of Technology and Management  Shivamogga, P E S Institute of Technology and Management  Shivamogga [E150]
142,E141, P E S University (Electronic City Campus)  Bangalore, P E S University (Electronic City Campus)  Bangalore [E141]
143,E009, P E S University (Ring Road Campus)  Bangalore, P E S University (Ring Road Campus)  Bangalore [E009]
144,E237," Presidency University  Yelahanka, Bangalore"," Presidency University  Yelahanka, Bangalore [E237]"
145,E076," Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT"," Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT [E076]"
146,E275," R V Institute of Technology and Management  JP Nagar, Bengaluru"," R V Institute of Technology and Management  JP Nagar, Bengaluru [E275]"
147,E285, R V University  Bangalore, R V University  Bangalore [E285]
148,E005, R. V. College of Engineering  Bangalore, R. V. College of Engineering  Bangalore [E005]
149,E116, R.L.Jalappa Institute of Technology  Bangalore Rural Dist, R.L.Jalappa Institute of Technology  Bangalore Rural Dist [E116]
150,E172," R.R.Institute of Technology  Chikkabanavara, Bangalore"," R.R.Institute of Technology  Chikkabanavara, Bangalore [E172]"
151,E032, R.T.E Socity`s Rural Engineering College  Hulkoti, R.T.E Socity`s Rural Engineering College  Hulkoti [E032]
152,E118, RNS Institute of Technology  Bangalore, RNS Institute of Technology  Bangalore [E118]
153,E145," Rajarajeswari College of Engineering  Kumbalagodu,Bangalore"," Rajarajeswari College of Engineering  Kumbalagodu,Bangalore [E145]"
154,E177, Rajeev Institute of Technology  Hassan, Rajeev Institute of Technology  Hassan [E177]
155,E124," Rajiv Gandhi Institute of Technology  R.T Nagar Post, Bangalore"," Rajiv Gandhi Institute of Technology  R.T Nagar Post, Bangalore [E124]"
156,E045, Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari, Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari [E045]
157,E232, Reva University  Bangalore, Reva University  Bangalore [E232]
158,E152," S D M Institute of Tech.  Ujire,Dakshina Kannada"," S D M Institute of Tech.  Ujire,Dakshina Kannada [E152]"
159,E153, S E A College of Engineering and Technology  K R puram bangalore, S E A College of Engineering and Technology  K R puram bangalore [E153]
160,E115," S J B Institute of Technology  Kengeri,Bangalore (ATNMS)"," S J B Institute of Technology  Kengeri,Bangalore (ATNMS) [E115]"
161,E014, S J C Institute of Technology  Chickballapur, S J C Institute of Technology  Chickballapur [E014]
162,E002, S K S J T Institute of Engineering.  Bangalore, S K S J T Institute of Engineering.  Bangalore [E002]
163,E175, S.G.Balekundri Institute of Technology  Belgaum, S.G.Balekundri Institute of Technology  Belgaum [E175]
164,E225, S.J.B School of Architecture and Planning  Bangalore, S.J.B School of Architecture and Planning  Bangalore [E225]
165,E063, SJM Institute of Techonology  Chitradurga, SJM Institute of Techonology  Chitradurga [E063]
166,E160, Sahyadri College of Engg. and Management  Mangalore, Sahyadri College of Engg. and Management  Mangalore [E160]
167,E173, Sai Vidya Institute of Technology  Bangalore, Sai Vidya Institute of Technology  Bangalore [E173]
168,E113, Sambhram Institute of Technology  Bangalore, Sambhram Institute of Technology  Bangalore [E113]
169,E202, Sampoorna Institute of Technology and Research  Ramanagara (D), Sampoorna Institute of Technology and Research  Ramanagara (D) [E202]
170,E108, Sapthagiri College of Engineering  Bangalore, Sapthagiri College of Engineering  Bangalore [E108]
171,E263, School of Planning and Architecture  Mysore, School of Planning and Architecture  Mysore [E263]
172,E132, Secab Institute of Engineering and Technology  Bijapur, Secab Institute of Engineering and Technology  Bijapur [E132]
173,E183, Sha-Shib College of Engineering  Chickballapur, Sha-Shib College of Engineering  Chickballapur [E183]
174,E198, Sharnbasva University College for Women(Formerly Godutai)  Gulbarga, Sharnbasva University College for Women(Formerly Godutai)  Gulbarga [E198]
175,E128," Sharnbasva University(Formerly Appa Inst. of Tech.)  Brahmpur, Kalaburagi"," Sharnbasva University(Formerly Appa Inst. of Tech.)  Brahmpur, Kalaburagi [E128]"
176,E216, Shetty Institute of Technology  Gulbarga, Shetty Institute of Technology  Gulbarga [E216]
177,E146," Shreedevi Institute of Technology  Kenjar, Mangalore"," Shreedevi Institute of Technology  Kenjar, Mangalore [E146]"
178,E206, Shri Madhwa Vadiraja Institute of Technology and Management  Udupi Dist, Shri Madhwa Vadiraja Institute of Technology and Management  Udupi Dist [E206]
179,E130, Shridevi Institute of Engineering and Technology  Tumkur, Shridevi Institute of Engineering and Technology  Tumkur [E130]
180,E016, Siddaganga Institute of Technology  Tumkur, Siddaganga Institute of Technology  Tumkur [E016]
181,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,"," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]"
182,E134," Smt. Kamala and Sri Venkappa M.Agadi College of Engg. and Tech.  Laxmeshwara-Tq, Gadag Dt."," Smt. Kamala and Sri Venkappa M.Agadi College of Engg. and Tech.  Laxmeshwara-Tq, Gadag Dt. [E134]"
183,E181," Sri Basaveswara Institute of Technology  Tiptur, Tumkur(D)"," Sri Basaveswara Institute of Technology  Tiptur, Tumkur(D) [E181]"
184,E034, Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad, Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034]
185,E021, Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore, Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021]
186,E284, Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore, Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E284]
187,E112, Sri Krishna Institute of Technology  Bangalore, Sri Krishna Institute of Technology  Bangalore [E112]
188,E090, Sri Revana Siddeswara Institute of Technology  Bangalore North, Sri Revana Siddeswara Institute of Technology  Bangalore North [E090]
189,E086," Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore"," Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore [E086]"
190,E017, Sri Siddartha Institute of Technology  Tumkur, Sri Siddartha Institute of Technology  Tumkur [E017]
191,E033, Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur, Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033]
192,E111," Sri Venkateshwara College of Engineering  Bettahalsur(P), Bangalore"," Sri Venkateshwara College of Engineering  Bettahalsur(P), Bangalore [E111]"
193,E144, Srinivas Institute of Technology  Mangalore., Srinivas Institute of Technology  Mangalore. [E144]
194,E193," Srinivas University  Mukka, Suratkal, Mangalore"," Srinivas University  Mukka, Suratkal, Mangalore [E193]"
195,E129, St. Joseph Engineering College  Mangalore, St. Joseph Engineering College  Mangalore [E129]
196,E147, T.John Engineering College  Bangalore, T.John Engineering College  Bangalore [E147]
197,E178, The National Institute of Engineering(NORTH CAMPUS)  Mysore, The National Institute of Engineering(NORTH CAMPUS)  Mysore [E178]
198,E056, The National Institute of Engineering(SOUTH CAMPUS)  Mysore, The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E056]
199,E022, The National Institute of Engineering(SOUTH CAMPUS)  Mysore, The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022]
200,E078, The Oxford College of Engineering  Bangalore, The Oxford College of Engineering  Bangalore [E078]
201,E028, Tontadarya College of Engineering  Gadag, Tontadarya College of Engineering  Gadag [E028]
202,E061, University B.D.T. college of Engineering  Davangere, University B.D.T. college of Engineering  Davangere [E061]
203,E283, University of Mysore  Mysore, University of Mysore  Mysore [E283]
204,E207," VSMs Somashekar R Kothiwale Institute of Technology  Nippani, Belgaum- Dist"," VSMs Somashekar R Kothiwale Institute of Technology  Nippani, Belgaum- Dist [E207]"
205,E197, Veerappa Nisty Engineering College  Yadigir Dist, Veerappa Nisty Engineering College  Yadigir Dist [E197]
206,E092, Vemana Institute of Technology  Bangalore, Vemana Institute of Technology  Bangalore [E092]
207,E071, Vidya Vardhaka College of Engineering  Mysuru, Vidya Vardhaka College of Engineering  Mysuru [E071]
208,E077, Vidya Vikas Institute of Engineering and Technology  Mysuru, Vidya Vikas Institute of Engineering and Technology  Mysuru [E077]
209,E287, Vidyashilp University  Bangalore, Vidyashilp University  Bangalore [E287]
210,E188, Vijaya Vittala Institute of Technology  Bangalore, Vijaya Vittala Institute of Technology  Bangalore [E188]
211,E279, Visvesvaraya Technological University  Belgaum, Visvesvaraya Technological University  Belgaum [E279]
212,E278," Visvesvaraya Technological University  Muddenahalli,Chickkaballapur"," Visvesvaraya Technological University  Muddenahalli,Chickkaballapur [E278]"
213,E290, Visvesvaraya Technological University - Regional Center  Mysore, Visvesvaraya Technological University - Regional Center  Mysore [E290]
214,E289," Visvesvaraya Technological University - Regional Center  Rajapur,Kalburgi"," Visvesvaraya Technological University - Regional Center  Rajapur,Kalburgi [E289]"
215,E121, Vivekananada College of Engineering Technology  D K DIST, Vivekananada College of Engineering Technology  D K DIST [E121]
216,E087, Vivekananada Institute of Technology  Bangalore, Vivekananada Institute of Technology  Bangalore [E087]
217,E165," Yenepoya Institute of Technology  Thodar,Moodbidri"," Yenepoya Institute of Technology  Thodar,Moodbidri [E165]"
218,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001]
